Review Number,Form ID,Form Name,Form Version / Revision,Form Ownership,Page,Field ID,Field Key,Field Label,Mapping ID,Field Type,Source Type,Source Path,X,Y,Width,Height,Font Size,Current Multiline,Audit Recommended Multiline,Lee Approves Multiline,Current Mask,Audit Recommended Mask,Lee Approves Mask,Dimension Review Recommended,Lee Approves Dimension Review,Confidence,Audit Reason,Surrounding Content Risk,Dimension Notes,Existing Notes,Lee Notes,Review Status,Visual Reference
1,28,ADDENDUM CONCERNING RIGHT TO TERMINATE DUE TO LENDER'S APPRAISAL,TXR-1948-11-15-2018,GLOBAL,1,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,d5059a85-ed68-4a1d-8350-722b6206ec27,text,packet_property,full_address,225,126,353,16,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 16pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-28.pdf#page=1
2,28,ADDENDUM CONCERNING RIGHT TO TERMINATE DUE TO LENDER'S APPRAISAL,TXR-1948-11-15-2018,GLOBAL,1,ec4241cd-30d6-4e77-a8db-60f1d8ffd27c,txr_1948_partial_waiver_opinion_value,TXR-1948 Partial Waiver Opinion of Value Threshold,1f7c4340-a91a-4232-aecb-6dd916308df7,text / currency,manual_only,,230,380,102,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-28.pdf#page=1
3,28,ADDENDUM CONCERNING RIGHT TO TERMINATE DUE TO LENDER'S APPRAISAL,TXR-1948-11-15-2018,GLOBAL,1,a7b24df3-8ea4-4ca9-8f3b-26db17281415,txr_1948_terminate_within_days,TXR-1948 Terminate Within Days,4c6b39b5-e54c-481b-aace-2d1e61f48a87,number,manual_only,,65,462,45,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-28.pdf#page=1
4,28,ADDENDUM CONCERNING RIGHT TO TERMINATE DUE TO LENDER'S APPRAISAL,TXR-1948-11-15-2018,GLOBAL,1,e0dce2ce-5cc3-4dc0-95aa-1db7067691be,txr_1948_appraised_value_less_than,TXR-1948 Appraised Value Less Than,389c38bf-625c-4b0b-94b3-8f2c9584c8c9,text / currency,manual_only,,125,493,95,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-28.pdf#page=1
5,29,"ADDENDUM FOR ""BACK-UP"" CONTRACT",TXR-1909-05-04-2026,GLOBAL,1,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,bc8ae565-818f-4841-9375-6bb79523db31,text,packet_property,full_address,50,121.21,510,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-29.pdf#page=1
6,29,"ADDENDUM FOR ""BACK-UP"" CONTRACT",TXR-1909-05-04-2026,GLOBAL,1,0fb91bfa-48aa-4c4e-a667-75b0f8ccf207,txr_1909_additional_earnest_money,TXR-1909 Additional Earnest Money,8af64fb8-e718-45e5-b9e0-5a3a62889cda,text / currency,manual_only,,343.62,254.15,53.89,14.75,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14.75pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-29.pdf#page=1
7,29,"ADDENDUM FOR ""BACK-UP"" CONTRACT",TXR-1909-05-04-2026,GLOBAL,1,6b783487-b80d-483c-9ac6-16bc9d97b549,txr_1909_additional_option_fee,TXR-1909 Additional Option Fee,a78f79c3-9ce7-4f6a-b9c8-b29129cd4081,text / currency,manual_only,,85.92,266.43,60.3,13.47,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 13.47pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-29.pdf#page=1
8,29,"ADDENDUM FOR ""BACK-UP"" CONTRACT",TXR-1909-05-04-2026,GLOBAL,1,283d4322-9459-4368-b746-b4cdae8d1cef,txr_1909_delivery_days,TXR-1909 Delivery Days After Amended Effective Date,62d55214-3239-4115-ae97-66c7890b0128,number,manual_only,,275,269,45,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-29.pdf#page=1
9,29,"ADDENDUM FOR ""BACK-UP"" CONTRACT",TXR-1909-05-04-2026,GLOBAL,2,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,93185ea7-076c-4601-baa1-681b5bd7b19a,text,packet_property,full_address,177.66,38.51,328.45,18.6,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 18.6pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=1; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-29.pdf#page=2
10,12,Addendum for Property Subject to Mandatory Membership in a Property Owners Association,TXR-1922-11-07-2022,GLOBAL,1,87e657c2-c6b5-453e-8a53-6ab8e88da138,hoa_addendum_seller_delivery_days,HOA Addendum Seller Delivery Days,86b03f89-2327-4504-af74-e39f83404f82,text / integer,manual_only,,104,223.2,69.6,14.4,10,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14.4pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-12.pdf#page=1
11,12,Addendum for Property Subject to Mandatory Membership in a Property Owners Association,TXR-1922-11-07-2022,GLOBAL,1,10f7af2c-a9e6-4161-88bd-759efbf73dae,hoa_addendum_buyer_delivery_days,HOA Addendum Buyer Delivery Days,333440fb-ba4a-4d1d-ac05-d75da00e30a2,text / integer,manual_only,,106.4,278.4,72,16.8,10,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 16.8pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-12.pdf#page=1
12,30,ADDENDUM FOR SALE OF OTHER PROPERTY BY BUYER,TXR-1908-12-05-2011,GLOBAL,1,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,2091ee38-a746-4c77-b08a-c8030aa04e57,text,packet_property,full_address,51.92,151.98,510,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-30.pdf#page=1
