form_id,form_name,field_id,field_key,field_label,mapping_id,page_number,x,y,width,height,font_size,current_is_multiline,recommended_is_multiline,current_mask_background,recommended_mask_background,confidence,reason,dimension_change_recommended,dimension_notes,surrounding_content_risk,review_status,notes
20,Residential Condominium Contract (Resale),68ab207d-d60c-4262-b96d-4135f8f8e639,contract_specific_repairs,Specific Repairs,001f0f4a-4604-4084-b15e-cd385371cadb,4,300.4,418.5,250.8,14,,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=1; cap=1; underlineDerived=false
14,Amendment to Contract,6d064e43-4082-4f01-8214-3665688d4607,contract_amend_total_sales_price,Amendment Total Sales Price,0061f40f-db5d-4889-aeb6-dcaceb810605,1,477.09,163.13,75,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=2; cap=1; underlineDerived=false
32,ADDENDUM REGARDING RESIDENTIAL LEASES,a3be4d0b-535d-4705-bbe0-d9d1e685e4d0,txr_1953_terminate_within_days,TXR-1953 Terminate Within Days After Receiving Leases,00750a2c-e6d9-4225-b6ab-1ac268be15f5,1,81.16,292.51,45,14,9,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=0; cap=1; underlineDerived=false
7,Listing Agreement,fcd1089b-47e1-4f03-ae77-a6582b778e09,AGENT_NAME,Agent Name,00874db7-79c9-4d24-95eb-6d8a36c1cd24,11,27.7,411.42,150,18,10,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
47,RESIDENTIAL LEASING AND PROPERTY MANAGEMENT AGREEMENT,02d0fe75-f01c-4449-a019-61e7df65fb8e,txr_2201_term_fee_if_leased,Termination Fee If Property Leased,00a13bac-e568-4fbe-9bcb-407f490df676,3,151.1,138.4,202.5,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
25,Condominium Resale Certificate,9900d109-5d16-4615-b470-e30d4327660c,condo_resale_known_violations,Known Violations,00b9fb33-5076-49a7-807b-f3d3b71f5938,1,66,482,482,24,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=2; underlineDerived=false
14,Amendment to Contract,84448dd0-d2a7-45f0-af42-104033577260,contract_amend_buyer_pay_percent,Amendment Buyer Pay Percent,00c775b3-8b72-46aa-b367-59e36b8ed62d,1,413.74,311.19,30.79,13.47,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
11,One to Four Residential,ceaf9445-8db2-4741-8a9a-83578275b3a1,contract_buyer_notice_email,Buyer Notice Email,013f641c-f2f7-4bd6-8b72-ba99d35dcce6,8,109.44,534.75,189.81,13.34,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
37,FARM AND RANCH CONTRACT,53d6a7bf-9725-4d98-89ed-11630dd92a41,CONTRACT_BUYER_ASSOCIATE_LICENSE_NUMBER,Buyer Associate License Number,01476b39-5e74-414c-8cd6-526bd98852aa,11,413.47,347.76,100,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
15,Residential Lease Listing,844c64f4-b9a5-4b7b-9d42-939d556a1c7e,PROPERTY_ADDRESS_ZIP,Property ZIP,015ad820-46f2-42b7-9dfb-65dff4a4ee4d,1,73.53,430.68,362.69,13.34,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
